PERSON_ID,PERNAME1,PERNAME2,SEX,DOB_DAY,DOB_MON,DOB_YEAR,DOB_FULL,ENUMPC
DE03US001001,COUIE,PRICE,1,1,6,1960,01/06/1960,DE03US
DE03US001002,ABBIE,PVICE,2,9,11,1961,09/11/1961,DE03US
DE03US001003,LACEY,PRICE,2,7,2,1999,07/02/1999,DE03US
DE03US001004,SAMUEL,PRICE,1,13,4,1990,13/04/1990,DE03US
DE03US001005,JOSEPH,PRICE,1,20,4,1986,20/04/1986,DE03US
DE03US001006,JOSH,PRICE,1,14,2,1996,14/02/1996,DE03US
DE03US002001,PAIGE,BELL,2,5,10,1969,05/10/1969,DE03US
DE03US003001,NATMAN,RUSSELL,1,11,11,1934,11/11/1934,DE03US
DE03US004001,ANNABEL,THOMSON,2,10,5,1918,10/05/1918,DE03US
DE03US005001,MOLLY,WATSON,2,29,3,1964,29/03/1964,DE03US
DE03US006001,ZAK,ROBINSON,1,24,8,1957,24/08/1957,DE03US
DE03US007001,DLAKE,GRAHAM,1,23,1,1968,23/01/1968,DE03US
DE03US008001,ZARA,WOOD,2,9,5,1953,09/05/1953,DE03US
DE03US009001,TYLER,PALMER,1,4,11,1943,04/11/1943,DE03US
DE03US010001,OSCAR,SHAW,1,2,3,2000,02/03/2000,DE03US
DE03US010002,EVIE,SHAW,2,7,2,1955,07/02/1955,DE03US
DE03US011001,LIAM,SHAW,1,20,11,1987,20/11/1987,DE03US
DE03US012001,ZAK,ANDERSON,1,17,10,1976,17/10/1976,DE03US
DE03US012002,NAOMI,ANDERSON,2,7,1,1975,07/01/1975,DE03US
DE03US012003,MILLIE,ANDERSON,2,16,8,2001,16/08/2001,DE03US
DE03US012004,LIAM,ANDERSON,1,28,9,1999,28/09/1999,DE03US
DE03US012005,FRANCESCA,ANDERSON,2,25,5,2003,25/05/2003,DE03US
DE03US013001,PATRYK,JONES,1,5,6,1954,05/06/1954,DE03US
DE03US013002,MADISON,JONES,2,6,12,1953,06/12/1953,DE03US
DE03US013003,CHARLOTTE,JOMES,2,26,4,1974,26/04/1974,DE03US
DE03US014001,EVIE,KING,2,3,10,2007,03/10/2007,DE03US
DE03US014002,CHARLIE,KING,1,7,7,1976,07/07/1976,DE03US
DE03US014003,BILLY,KING,1,2,7,1960,02/07/1960,DE03US
DE03US014004,EVE,KING,2,25,3,1978,25/03/1978,DE03US
DE03US014005,OLIVIA,KING,2,20,2,1971,20/02/1971,DE03US
DE03US014006,GRACE,KING,2,22,1,1992,22/01/1992,DE03US
DE03US014007,ELIZA,KING,2,3,1,1954,03/01/1954,DE03US
DE03US014008,MOHAMMAD,KING,1,22,1,2000,22/01/2000,DE03US
DE03US015001,BEN,MATTHEWS,1,9,8,1965,09/08/1965,DE03US
DE03US015002,ELEANOR,MATTHEWS,2,1,9,1962,01/09/1962,DE03US
DE03US015003,SAMUEL,MATTHEWS,1,25,12,2002,25/12/2002,DE03US
DE03US015004,MARTHA,MATTHEWS,2,14,4,1985,14/04/1985,DE03US
DE03US016001,HARRY,THOMAS,1,24,8,1984,24/08/1984,DE03US
DE03US016003,THOMAS,THOMAS,1,23,9,2010,23/09/2010,DE03US
DE03US016004,LAYLA,THOMAS,2,21,6,2010,21/06/2010,DE03US
DE03US017001,MAX,BENNETT,1,24,11,1926,24/11/1926,DE03US
DE03US018001,ZAKARIYA,HARVEY,,20,9,,20/9/,DE03US
DE03US018002,DAVID,HARVEY,1,18,6,1917,18/06/1917,DE03US
DE03US019002,BBANDON,LEWIS,1,17,2,1956,17/02/1956,DE03US
DE03US020001,ELIZABETH,LEWIS,2,10,2,1937,10/02/1937,DE03US
DE03UT022001,GEORGE,ROBERTS,1,19,5,1936,19/05/1936,DE03UT
DE03UT023001,FINLEY,FOSTER,1,9,12,1945,09/12/1945,DE03UT
DE03UT024001,JAYDEN,BAILEY,1,3,11,1963,03/11/1963,DE03UT
